,label,0,1,2,3,4
23,tensor(0),tensor(0.7170),tensor(0.2730),tensor(0.0089),tensor(0.0009),tensor(0.0001)
24,tensor(0),tensor(0.8779),tensor(0.1130),tensor(0.0010),tensor(0.0077),tensor(0.0004)
25,tensor(0),tensor(0.8177),tensor(0.1588),tensor(0.0042),tensor(0.0190),tensor(0.0003)
26,tensor(0),tensor(0.8018),tensor(0.1966),tensor(0.0009),tensor(0.0005),tensor(0.0002)
27,tensor(0),tensor(0.7360),tensor(0.2626),tensor(0.0011),tensor(0.0002),tensor(6.5092e-05)
28,tensor(0),tensor(0.8446),tensor(0.1529),tensor(0.0006),tensor(0.0017),tensor(0.0002)
29,tensor(0),tensor(0.6973),tensor(0.2903),tensor(0.0072),tensor(0.0044),tensor(0.0008)
30,tensor(0),tensor(0.8015),tensor(0.1813),tensor(0.0166),tensor(0.0006),tensor(6.3395e-05)
31,tensor(0),tensor(0.7659),tensor(0.2263),tensor(0.0060),tensor(0.0013),tensor(0.0006)
32,tensor(0),tensor(0.8124),tensor(0.1866),tensor(0.0003),tensor(0.0003),tensor(0.0005)
33,tensor(0),tensor(0.7913),tensor(0.2068),tensor(0.0013),tensor(0.0003),tensor(0.0002)
34,tensor(0),tensor(0.7751),tensor(0.2210),tensor(0.0037),tensor(0.0001),tensor(6.3906e-06)
35,tensor(0),tensor(0.7220),tensor(0.2745),tensor(0.0021),tensor(0.0014),tensor(1.3955e-05)
36,tensor(0),tensor(0.8752),tensor(0.1204),tensor(0.0024),tensor(0.0018),tensor(0.0001)
37,tensor(0),tensor(0.8717),tensor(0.1262),tensor(0.0016),tensor(0.0005),tensor(6.0857e-05)
38,tensor(0),tensor(0.8802),tensor(0.1078),tensor(0.0091),tensor(0.0023),tensor(0.0007)
39,tensor(0),tensor(0.7186),tensor(0.2490),tensor(0.0310),tensor(0.0005),tensor(0.0008)
40,tensor(0),tensor(0.7641),tensor(0.2335),tensor(0.0022),tensor(0.0001),tensor(3.0915e-05)
41,tensor(0),tensor(0.7195),tensor(0.2789),tensor(0.0012),tensor(0.0003),tensor(3.8377e-05)
42,tensor(0),tensor(0.8400),tensor(0.1358),tensor(0.0043),tensor(0.0167),tensor(0.0031)
43,tensor(0),tensor(0.7547),tensor(0.2386),tensor(0.0030),tensor(0.0026),tensor(0.0012)
44,tensor(0),tensor(0.8305),tensor(0.1422),tensor(0.0270),tensor(0.0003),tensor(3.8105e-05)
45,tensor(1),tensor(0.8384),tensor(0.1461),tensor(0.0136),tensor(0.0006),tensor(0.0013)
46,tensor(0),tensor(0.8465),tensor(0.1479),tensor(0.0052),tensor(0.0003),tensor(8.8102e-05)
47,tensor(0),tensor(0.7612),tensor(0.2254),tensor(0.0127),tensor(0.0004),tensor(0.0003)
48,tensor(0),tensor(0.7772),tensor(0.2219),tensor(0.0007),tensor(0.0002),tensor(6.1168e-06)
49,tensor(0),tensor(0.7569),tensor(0.2408),tensor(0.0021),tensor(0.0002),tensor(2.7046e-05)
50,tensor(0),tensor(0.7585),tensor(0.2397),tensor(0.0013),tensor(0.0004),tensor(2.1879e-05)
51,tensor(0),tensor(0.8171),tensor(0.1800),tensor(0.0022),tensor(0.0004),tensor(0.0002)
52,tensor(0),tensor(0.8161),tensor(0.1823),tensor(0.0012),tensor(0.0003),tensor(2.4332e-05)
53,tensor(0),tensor(0.8606),tensor(0.1360),tensor(0.0027),tensor(0.0006),tensor(0.0001)
54,tensor(0),tensor(0.6607),tensor(0.3278),tensor(0.0112),tensor(0.0001),tensor(0.0001)
55,tensor(1),tensor(0.8512),tensor(0.1457),tensor(0.0026),tensor(0.0003),tensor(0.0001)
56,tensor(0),tensor(0.7283),tensor(0.2689),tensor(0.0024),tensor(0.0004),tensor(1.0902e-05)
57,tensor(0),tensor(0.6730),tensor(0.3136),tensor(0.0128),tensor(0.0005),tensor(7.8286e-05)
58,tensor(0),tensor(0.7358),tensor(0.2622),tensor(0.0018),tensor(0.0002),tensor(1.6254e-05)
59,tensor(0),tensor(0.4566),tensor(0.5339),tensor(0.0082),tensor(0.0013),tensor(1.0386e-05)
60,tensor(0),tensor(0.8118),tensor(0.1861),tensor(0.0011),tensor(0.0008),tensor(0.0003)
61,tensor(0),tensor(0.7166),tensor(0.2784),tensor(0.0040),tensor(0.0007),tensor(0.0002)
62,tensor(0),tensor(0.7891),tensor(0.2092),tensor(0.0013),tensor(0.0003),tensor(4.1517e-05)
63,tensor(0),tensor(0.5990),tensor(0.3925),tensor(0.0080),tensor(0.0005),tensor(4.7183e-05)
64,tensor(0),tensor(0.6827),tensor(0.3081),tensor(0.0019),tensor(0.0068),tensor(0.0006)
65,tensor(0),tensor(0.8088),tensor(0.1844),tensor(0.0016),tensor(0.0042),tensor(0.0010)
66,tensor(0),tensor(0.8144),tensor(0.1824),tensor(0.0015),tensor(0.0006),tensor(0.0012)
67,tensor(0),tensor(0.8237),tensor(0.1743),tensor(0.0005),tensor(0.0009),tensor(0.0006)
68,tensor(0),tensor(0.7397),tensor(0.2578),tensor(0.0023),tensor(0.0002),tensor(5.3264e-06)
69,tensor(0),tensor(0.7142),tensor(0.2783),tensor(0.0067),tensor(0.0006),tensor(0.0002)
70,tensor(0),tensor(0.7469),tensor(0.2519),tensor(0.0007),tensor(0.0004),tensor(7.1767e-05)
71,tensor(0),tensor(0.7460),tensor(0.2486),tensor(0.0030),tensor(0.0022),tensor(0.0002)
72,tensor(0),tensor(0.6019),tensor(0.3909),tensor(0.0063),tensor(0.0008),tensor(5.7592e-05)
73,tensor(0),tensor(0.7725),tensor(0.2258),tensor(0.0007),tensor(0.0010),tensor(2.8837e-05)
74,tensor(0),tensor(0.7319),tensor(0.2127),tensor(0.0548),tensor(0.0006),tensor(1.5020e-05)
75,tensor(0),tensor(0.7727),tensor(0.1903),tensor(0.0364),tensor(0.0004),tensor(0.0002)
76,tensor(0),tensor(0.5761),tensor(0.4215),tensor(0.0021),tensor(0.0002),tensor(6.4515e-05)
77,tensor(0),tensor(0.7588),tensor(0.2402),tensor(0.0007),tensor(0.0002),tensor(9.7657e-05)
78,tensor(0),tensor(0.7996),tensor(0.1940),tensor(0.0042),tensor(0.0022),tensor(9.5923e-06)
79,tensor(0),tensor(0.7604),tensor(0.2384),tensor(0.0008),tensor(0.0002),tensor(7.9265e-05)
80,tensor(0),tensor(0.6846),tensor(0.3124),tensor(0.0025),tensor(0.0003),tensor(0.0001)
81,tensor(0),tensor(0.6806),tensor(0.3177),tensor(0.0015),tensor(0.0001),tensor(6.4404e-05)
82,tensor(0),tensor(0.6220),tensor(0.3732),tensor(0.0048),tensor(7.7079e-05),tensor(6.8544e-06)
83,tensor(0),tensor(0.1974),tensor(0.7907),tensor(0.0119),tensor(8.7145e-05),tensor(1.8424e-06)
84,tensor(0),tensor(0.6202),tensor(0.3778),tensor(0.0018),tensor(0.0001),tensor(5.1633e-06)
85,tensor(0),tensor(0.8414),tensor(0.1574),tensor(0.0010),tensor(0.0001),tensor(4.6356e-05)
86,tensor(0),tensor(0.7683),tensor(0.2297),tensor(0.0016),tensor(0.0003),tensor(4.5304e-05)
87,tensor(0),tensor(0.7737),tensor(0.2196),tensor(0.0055),tensor(0.0010),tensor(0.0001)
88,tensor(0),tensor(0.7942),tensor(0.2030),tensor(0.0022),tensor(0.0005),tensor(5.8044e-05)
89,tensor(0),tensor(0.7911),tensor(0.2054),tensor(0.0029),tensor(0.0004),tensor(0.0002)
90,tensor(0),tensor(0.6834),tensor(0.3124),tensor(0.0027),tensor(0.0015),tensor(4.2734e-05)
91,tensor(0),tensor(0.6519),tensor(0.3464),tensor(0.0015),tensor(0.0002),tensor(6.7155e-06)
92,tensor(0),tensor(0.8436),tensor(0.1448),tensor(0.0022),tensor(0.0072),tensor(0.0021)
93,tensor(0),tensor(0.9010),tensor(0.0796),tensor(0.0013),tensor(0.0093),tensor(0.0089)
94,tensor(0),tensor(0.8048),tensor(0.1822),tensor(0.0107),tensor(0.0013),tensor(0.0011)
95,tensor(0),tensor(0.7712),tensor(0.2042),tensor(0.0226),tensor(0.0011),tensor(0.0009)
96,tensor(0),tensor(0.6950),tensor(0.2995),tensor(0.0048),tensor(0.0007),tensor(4.1139e-05)
97,tensor(0),tensor(0.6056),tensor(0.3666),tensor(0.0262),tensor(0.0015),tensor(3.2528e-05)
98,tensor(0),tensor(0.4054),tensor(0.5795),tensor(0.0129),tensor(0.0020),tensor(0.0001)
99,tensor(0),tensor(0.6276),tensor(0.3493),tensor(0.0208),tensor(0.0022),tensor(0.0001)
100,tensor(0),tensor(0.7770),tensor(0.2203),tensor(0.0023),tensor(0.0003),tensor(1.3943e-05)
101,tensor(1),tensor(0.8311),tensor(0.1652),tensor(0.0017),tensor(0.0018),tensor(0.0002)
102,tensor(0),tensor(0.8431),tensor(0.1489),tensor(0.0064),tensor(0.0012),tensor(0.0004)
103,tensor(0),tensor(0.6105),tensor(0.3215),tensor(0.0632),tensor(0.0043),tensor(0.0006)
104,tensor(0),tensor(0.7194),tensor(0.2766),tensor(0.0033),tensor(0.0006),tensor(7.1471e-05)
105,tensor(0),tensor(0.7797),tensor(0.2145),tensor(0.0045),tensor(0.0012),tensor(4.4944e-05)
106,tensor(0),tensor(0.8327),tensor(0.1659),tensor(0.0006),tensor(0.0005),tensor(0.0002)
107,tensor(0),tensor(0.8021),tensor(0.1942),tensor(0.0021),tensor(0.0014),tensor(0.0001)
108,tensor(0),tensor(0.7371),tensor(0.2518),tensor(0.0091),tensor(0.0017),tensor(0.0003)
109,tensor(0),tensor(0.8723),tensor(0.1225),tensor(0.0036),tensor(0.0003),tensor(0.0013)
110,tensor(0),tensor(0.8273),tensor(0.1723),tensor(0.0002),tensor(0.0001),tensor(8.6336e-05)
111,tensor(0),tensor(0.7467),tensor(0.2519),tensor(0.0006),tensor(0.0005),tensor(0.0002)
112,tensor(0),tensor(0.8610),tensor(0.1381),tensor(0.0005),tensor(0.0002),tensor(0.0002)
113,tensor(0),tensor(0.8252),tensor(0.1734),tensor(0.0007),tensor(0.0004),tensor(0.0003)
114,tensor(0),tensor(0.7401),tensor(0.2487),tensor(0.0088),tensor(0.0021),tensor(0.0003)
115,tensor(0),tensor(0.7759),tensor(0.1987),tensor(0.0234),tensor(0.0013),tensor(0.0008)
116,tensor(0),tensor(0.6583),tensor(0.3361),tensor(0.0040),tensor(0.0014),tensor(0.0002)
117,tensor(0),tensor(0.6965),tensor(0.2985),tensor(0.0041),tensor(0.0005),tensor(0.0004)
118,tensor(0),tensor(0.7932),tensor(0.2047),tensor(0.0014),tensor(0.0006),tensor(0.0001)
119,tensor(0),tensor(0.7374),tensor(0.2554),tensor(0.0063),tensor(0.0007),tensor(8.9571e-05)
120,tensor(0),tensor(0.8489),tensor(0.1442),tensor(0.0065),tensor(0.0003),tensor(6.5444e-05)
121,tensor(1),tensor(0.8140),tensor(0.1792),tensor(0.0056),tensor(0.0006),tensor(0.0006)
122,tensor(0),tensor(0.8639),tensor(0.1332),tensor(0.0016),tensor(0.0013),tensor(6.9247e-05)
123,tensor(1),tensor(0.5236),tensor(0.4668),tensor(0.0046),tensor(0.0045),tensor(0.0005)
124,tensor(0),tensor(0.8615),tensor(0.1297),tensor(0.0011),tensor(0.0076),tensor(6.8802e-05)
125,tensor(0),tensor(0.7024),tensor(0.2839),tensor(0.0056),tensor(0.0081),tensor(2.8290e-05)
126,tensor(0),tensor(0.4435),tensor(0.5471),tensor(0.0061),tensor(0.0031),tensor(0.0002)
127,tensor(0),tensor(0.5579),tensor(0.4319),tensor(0.0090),tensor(0.0011),tensor(5.5784e-05)
128,tensor(0),tensor(0.8767),tensor(0.1144),tensor(0.0013),tensor(0.0073),tensor(0.0003)
129,tensor(0),tensor(0.8540),tensor(0.1416),tensor(0.0013),tensor(0.0030),tensor(3.1649e-05)
130,tensor(0),tensor(0.7066),tensor(0.2737),tensor(0.0195),tensor(0.0002),tensor(7.8958e-05)
131,tensor(0),tensor(0.6051),tensor(0.3365),tensor(0.0572),tensor(0.0012),tensor(2.7277e-05)
132,tensor(0),tensor(0.8786),tensor(0.1121),tensor(0.0006),tensor(0.0086),tensor(0.0002)
133,tensor(0),tensor(0.8210),tensor(0.1650),tensor(0.0020),tensor(0.0115),tensor(0.0005)
134,tensor(0),tensor(0.8383),tensor(0.1508),tensor(0.0024),tensor(0.0085),tensor(0.0001)
135,tensor(0),tensor(0.8529),tensor(0.1308),tensor(0.0020),tensor(0.0140),tensor(0.0003)
136,tensor(0),tensor(0.6846),tensor(0.3113),tensor(0.0009),tensor(0.0005),tensor(0.0027)
137,tensor(0),tensor(0.8280),tensor(0.1695),tensor(0.0011),tensor(0.0005),tensor(0.0009)
138,tensor(0),tensor(0.3879),tensor(0.5960),tensor(0.0131),tensor(0.0019),tensor(0.0011)
139,tensor(0),tensor(0.6992),tensor(0.2935),tensor(0.0065),tensor(0.0006),tensor(0.0001)
140,tensor(0),tensor(0.8035),tensor(0.1867),tensor(0.0020),tensor(0.0075),tensor(0.0003)
141,tensor(0),tensor(0.8038),tensor(0.1949),tensor(0.0009),tensor(0.0004),tensor(2.3247e-05)
142,tensor(0),tensor(0.7357),tensor(0.2587),tensor(0.0046),tensor(0.0005),tensor(0.0005)
143,tensor(1),tensor(0.6791),tensor(0.3132),tensor(0.0061),tensor(0.0002),tensor(0.0013)
144,tensor(0),tensor(0.5099),tensor(0.3586),tensor(0.1282),tensor(0.0021),tensor(0.0012)
145,tensor(1),tensor(0.6684),tensor(0.3158),tensor(0.0146),tensor(0.0008),tensor(0.0004)
146,tensor(0),tensor(0.6677),tensor(0.2898),tensor(0.0414),tensor(0.0008),tensor(0.0002)
147,tensor(1),tensor(0.0038),tensor(0.9077),tensor(0.0878),tensor(0.0003),tensor(0.0004)
148,tensor(0),tensor(0.8367),tensor(0.1604),tensor(0.0026),tensor(0.0002),tensor(9.8794e-05)
149,tensor(0),tensor(0.8035),tensor(0.1905),tensor(0.0048),tensor(0.0009),tensor(0.0003)
150,tensor(0),tensor(0.8276),tensor(0.1719),tensor(0.0004),tensor(8.4983e-05),tensor(4.7723e-06)
151,tensor(1),tensor(0.4127),tensor(0.5716),tensor(0.0146),tensor(0.0011),tensor(0.0001)
152,tensor(0),tensor(0.8188),tensor(0.1801),tensor(0.0006),tensor(0.0003),tensor(0.0003)
153,tensor(0),tensor(0.6993),tensor(0.2971),tensor(0.0032),tensor(0.0002),tensor(0.0001)
154,tensor(0),tensor(0.7171),tensor(0.2787),tensor(0.0040),tensor(0.0001),tensor(4.9960e-05)
155,tensor(0),tensor(0.8732),tensor(0.1259),tensor(0.0008),tensor(1.9841e-05),tensor(2.3833e-05)
156,tensor(0),tensor(0.8103),tensor(0.1893),tensor(0.0002),tensor(0.0002),tensor(5.2971e-06)
157,tensor(0),tensor(0.7922),tensor(0.2055),tensor(0.0019),tensor(0.0003),tensor(4.3378e-05)
158,tensor(0),tensor(0.8755),tensor(0.1231),tensor(0.0004),tensor(0.0008),tensor(0.0002)
159,tensor(0),tensor(0.8696),tensor(0.1268),tensor(0.0021),tensor(0.0014),tensor(5.5991e-05)
160,tensor(0),tensor(0.7551),tensor(0.2396),tensor(0.0042),tensor(0.0009),tensor(0.0001)
161,tensor(1),tensor(0.7889),tensor(0.2086),tensor(0.0015),tensor(0.0006),tensor(0.0003)
162,tensor(0),tensor(0.7054),tensor(0.2888),tensor(0.0056),tensor(0.0002),tensor(3.2041e-05)
163,tensor(0),tensor(0.7921),tensor(0.2075),tensor(0.0003),tensor(9.3464e-05),tensor(3.4241e-05)
164,tensor(0),tensor(0.7687),tensor(0.2285),tensor(0.0017),tensor(0.0007),tensor(0.0004)
165,tensor(0),tensor(0.8182),tensor(0.1780),tensor(0.0035),tensor(0.0002),tensor(8.0591e-05)
166,tensor(0),tensor(0.2343),tensor(0.6898),tensor(0.0679),tensor(0.0080),tensor(3.9165e-05)
167,tensor(0),tensor(0.7074),tensor(0.2841),tensor(0.0080),tensor(0.0004),tensor(0.0002)
168,tensor(0),tensor(0.6441),tensor(0.3361),tensor(0.0196),tensor(8.0177e-05),tensor(0.0001)
169,tensor(0),tensor(0.7396),tensor(0.2509),tensor(0.0093),tensor(0.0001),tensor(6.8601e-05)
170,tensor(0),tensor(0.9162),tensor(0.0821),tensor(0.0012),tensor(0.0005),tensor(3.2812e-05)
171,tensor(0),tensor(0.5650),tensor(0.4312),tensor(0.0030),tensor(0.0007),tensor(0.0001)
172,tensor(0),tensor(0.8367),tensor(0.1509),tensor(0.0113),tensor(0.0007),tensor(0.0004)
173,tensor(0),tensor(0.7051),tensor(0.2927),tensor(0.0020),tensor(0.0002),tensor(2.5307e-05)
174,tensor(0),tensor(0.8197),tensor(0.1788),tensor(0.0009),tensor(0.0006),tensor(7.4002e-05)
175,tensor(0),tensor(0.7731),tensor(0.2229),tensor(0.0035),tensor(0.0005),tensor(6.5286e-05)
176,tensor(0),tensor(0.8482),tensor(0.1502),tensor(0.0010),tensor(0.0003),tensor(0.0003)
177,tensor(0),tensor(0.8591),tensor(0.1392),tensor(0.0009),tensor(0.0005),tensor(0.0002)
178,tensor(0),tensor(0.8080),tensor(0.1867),tensor(0.0015),tensor(0.0013),tensor(0.0025)
179,tensor(0),tensor(0.7899),tensor(0.2076),tensor(0.0014),tensor(0.0006),tensor(0.0006)
180,tensor(0),tensor(0.7596),tensor(0.2357),tensor(0.0028),tensor(0.0014),tensor(0.0004)
181,tensor(0),tensor(0.7762),tensor(0.2206),tensor(0.0020),tensor(0.0009),tensor(0.0003)
182,tensor(0),tensor(0.6807),tensor(0.3166),tensor(0.0021),tensor(0.0005),tensor(6.8442e-05)
183,tensor(1),tensor(0.8460),tensor(0.1528),tensor(0.0011),tensor(0.0001),tensor(1.8968e-05)
184,tensor(0),tensor(0.7515),tensor(0.2457),tensor(0.0009),tensor(0.0016),tensor(0.0003)
185,tensor(0),tensor(0.7859),tensor(0.2112),tensor(0.0016),tensor(0.0011),tensor(0.0002)
186,tensor(0),tensor(0.7851),tensor(0.2144),tensor(0.0004),tensor(5.3298e-05),tensor(3.4581e-06)
187,tensor(1),tensor(0.0306),tensor(0.9525),tensor(0.0167),tensor(0.0001),tensor(4.5442e-06)
188,tensor(0),tensor(0.8684),tensor(0.1265),tensor(0.0022),tensor(0.0022),tensor(0.0008)
189,tensor(0),tensor(0.8382),tensor(0.1529),tensor(0.0054),tensor(0.0032),tensor(0.0003)
190,tensor(0),tensor(0.7489),tensor(0.2451),tensor(0.0049),tensor(0.0011),tensor(4.4496e-05)
191,tensor(0),tensor(0.6414),tensor(0.3330),tensor(0.0205),tensor(0.0041),tensor(0.0009)
192,tensor(0),tensor(0.6972),tensor(0.3014),tensor(0.0011),tensor(0.0001),tensor(6.7974e-05)
193,tensor(0),tensor(0.6525),tensor(0.3419),tensor(0.0052),tensor(0.0004),tensor(0.0001)
194,tensor(0),tensor(0.7427),tensor(0.2558),tensor(0.0008),tensor(0.0006),tensor(0.0001)
195,tensor(0),tensor(0.6308),tensor(0.3666),tensor(0.0021),tensor(0.0004),tensor(0.0001)
196,tensor(0),tensor(0.7816),tensor(0.2162),tensor(0.0015),tensor(0.0005),tensor(0.0002)
197,tensor(0),tensor(0.7952),tensor(0.2009),tensor(0.0029),tensor(0.0006),tensor(0.0005)
198,tensor(0),tensor(0.7567),tensor(0.2404),tensor(0.0021),tensor(0.0005),tensor(0.0003)
199,tensor(0),tensor(0.7722),tensor(0.2227),tensor(0.0034),tensor(0.0008),tensor(0.0009)
200,tensor(0),tensor(0.8213),tensor(0.1742),tensor(0.0015),tensor(0.0028),tensor(0.0003)
201,tensor(0),tensor(0.8276),tensor(0.1706),tensor(0.0005),tensor(0.0010),tensor(0.0002)
202,tensor(0),tensor(0.6674),tensor(0.3273),tensor(0.0051),tensor(0.0002),tensor(4.0697e-06)
203,tensor(1),tensor(0.3448),tensor(0.6457),tensor(0.0092),tensor(0.0003),tensor(1.7198e-05)
204,tensor(0),tensor(0.4799),tensor(0.4829),tensor(0.0357),tensor(0.0007),tensor(0.0007)
205,tensor(0),tensor(0.7394),tensor(0.2305),tensor(0.0294),tensor(0.0006),tensor(4.6681e-05)
206,tensor(0),tensor(0.3873),tensor(0.6019),tensor(0.0100),tensor(0.0008),tensor(8.3984e-07)
207,tensor(0),tensor(0.7762),tensor(0.2216),tensor(0.0018),tensor(0.0004),tensor(2.2686e-05)
208,tensor(0),tensor(0.8640),tensor(0.1238),tensor(0.0106),tensor(0.0015),tensor(6.7892e-05)
209,tensor(0),tensor(0.8665),tensor(0.1253),tensor(0.0030),tensor(0.0045),tensor(0.0007)
210,tensor(0),tensor(0.6938),tensor(0.3008),tensor(0.0045),tensor(0.0008),tensor(0.0001)
211,tensor(0),tensor(0.6090),tensor(0.3871),tensor(0.0031),tensor(0.0007),tensor(8.6011e-05)
212,tensor(0),tensor(0.7926),tensor(0.2052),tensor(0.0019),tensor(0.0002),tensor(3.1185e-05)
213,tensor(0),tensor(0.7556),tensor(0.2411),tensor(0.0026),tensor(0.0006),tensor(0.0001)
214,tensor(0),tensor(0.6839),tensor(0.3037),tensor(0.0104),tensor(0.0016),tensor(0.0003)
215,tensor(0),tensor(0.8141),tensor(0.1798),tensor(0.0038),tensor(0.0021),tensor(0.0002)
216,tensor(0),tensor(0.7814),tensor(0.2055),tensor(0.0130),tensor(7.3116e-05),tensor(3.0061e-05)
217,tensor(0),tensor(0.7108),tensor(0.2833),tensor(0.0056),tensor(0.0001),tensor(0.0002)
218,tensor(0),tensor(0.7482),tensor(0.2507),tensor(0.0008),tensor(0.0002),tensor(6.9745e-05)
219,tensor(0),tensor(0.7321),tensor(0.2653),tensor(0.0021),tensor(0.0005),tensor(0.0001)
220,tensor(0),tensor(0.7177),tensor(0.2795),tensor(0.0021),tensor(0.0005),tensor(0.0001)
221,tensor(0),tensor(0.6741),tensor(0.3035),tensor(0.0152),tensor(0.0062),tensor(0.0009)
222,tensor(0),tensor(0.8634),tensor(0.1277),tensor(0.0024),tensor(0.0060),tensor(0.0005)
223,tensor(0),tensor(0.8581),tensor(0.1371),tensor(0.0012),tensor(0.0030),tensor(0.0006)
224,tensor(0),tensor(0.3941),tensor(0.5970),tensor(0.0076),tensor(0.0008),tensor(0.0006)
225,tensor(1),tensor(0.1660),tensor(0.8163),tensor(0.0151),tensor(0.0008),tensor(0.0018)
226,tensor(0),tensor(0.8203),tensor(0.1767),tensor(0.0028),tensor(0.0002),tensor(6.8195e-06)
227,tensor(0),tensor(0.6643),tensor(0.3316),tensor(0.0039),tensor(0.0001),tensor(5.4202e-06)
228,tensor(0),tensor(0.7216),tensor(0.2771),tensor(0.0010),tensor(0.0002),tensor(9.4773e-05)
229,tensor(0),tensor(0.7610),tensor(0.2365),tensor(0.0019),tensor(0.0004),tensor(0.0002)
230,tensor(0),tensor(0.8421),tensor(0.1531),tensor(0.0027),tensor(0.0019),tensor(0.0002)
231,tensor(0),tensor(0.8112),tensor(0.1839),tensor(0.0038),tensor(0.0008),tensor(0.0002)
232,tensor(0),tensor(0.6532),tensor(0.3410),tensor(0.0042),tensor(0.0015),tensor(0.0002)
233,tensor(0),tensor(0.7012),tensor(0.2961),tensor(0.0013),tensor(0.0012),tensor(0.0001)
234,tensor(0),tensor(0.7335),tensor(0.2625),tensor(0.0038),tensor(0.0002),tensor(3.2144e-05)
235,tensor(0),tensor(0.7839),tensor(0.2142),tensor(0.0014),tensor(0.0005),tensor(4.4442e-05)
236,tensor(0),tensor(0.7919),tensor(0.2065),tensor(0.0013),tensor(0.0002),tensor(2.3734e-05)
237,tensor(0),tensor(0.7870),tensor(0.2110),tensor(0.0017),tensor(0.0003),tensor(7.3964e-06)
238,tensor(0),tensor(0.8472),tensor(0.1508),tensor(0.0011),tensor(0.0006),tensor(0.0004)
239,tensor(0),tensor(0.8310),tensor(0.1677),tensor(0.0009),tensor(0.0004),tensor(2.4299e-05)
240,tensor(0),tensor(0.6845),tensor(0.3001),tensor(0.0148),tensor(0.0003),tensor(0.0003)
241,tensor(0),tensor(0.7664),tensor(0.2312),tensor(0.0019),tensor(0.0004),tensor(0.0002)
242,tensor(0),tensor(0.7059),tensor(0.2904),tensor(0.0034),tensor(0.0003),tensor(1.2903e-05)
243,tensor(0),tensor(0.6480),tensor(0.3337),tensor(0.0178),tensor(0.0005),tensor(1.4799e-05)
244,tensor(0),tensor(0.6070),tensor(0.3820),tensor(0.0103),tensor(0.0006),tensor(1.7454e-05)
245,tensor(0),tensor(0.7387),tensor(0.2584),tensor(0.0028),tensor(0.0001),tensor(7.2393e-05)
246,tensor(0),tensor(0.6819),tensor(0.3125),tensor(0.0054),tensor(0.0002),tensor(6.4912e-05)
247,tensor(1),tensor(0.8134),tensor(0.1787),tensor(0.0054),tensor(0.0014),tensor(0.0011)
248,tensor(0),tensor(0.8312),tensor(0.1620),tensor(0.0020),tensor(0.0023),tensor(0.0025)
249,tensor(0),tensor(0.7415),tensor(0.2502),tensor(0.0047),tensor(0.0023),tensor(0.0012)
250,tensor(0),tensor(0.8161),tensor(0.1825),tensor(0.0010),tensor(0.0002),tensor(0.0002)
251,tensor(0),tensor(0.7866),tensor(0.2122),tensor(0.0009),tensor(0.0001),tensor(0.0001)
